Headline,Link,Source,Published Date,Tokens,Lemmatized
stock market today dow drops as s p 500 nasdaq rise in countdown to trump s tariff reveal yahoo finance,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQQUw5aFpnY3E2WHZSNjE5QzVYQ0dkOEJVMFZkazdxQWJTejh6ZDA3ckJJNC1pbW52a19tajdLa3duRkVwdTVaNzlvckdvdlFrNEY3Wm9JQ3hmWnM2ZVJkMmJtQm91V1FLVll3a21NYWxIS1ZyODVsVThzaTZ6Z1FVSkxRaVU2ZGxNMEI3dGpURWo2UWhZYW9FRlJSczFfYnlwZnRrem45R3J5Q0UtRHZNTWpFQUtYcDVvOW1ZVHNnbllZcC1wTnpXR1VvYWI3eEZaRUVUSw?oc=5,news.google.com,"Tue, 01 Apr 2025 15:02:01 GMT","['stock', 'market', 'today', 'dow', 'drops', 'p', '500', 'nasdaq', 'rise', 'countdown', 'trump', 'tariff', 'reveal', 'yahoo', 'finance']","['stock', 'market', 'today', 'dow', 'drop', 'p', '500', 'nasdaq', 'rise', 'countdown', 'trump', 'tariff', 'reveal', 'yahoo', 'finance']"
5 things to know before the stock market opens investopedia,https://news.google.com/rss/articles/CBMinwFBVV95cUxNUEZBNDRTZTh3MkFNdl8tME9Yb3V5ZVd6OUNqTFdUNmZUN0JjR1Q3TE0xNGhXdW1QTmg2RHJPZXZWNHBSSWsxMXF1c3o1dklEMWpQeWZHdUJ1R3RacVR3REJNR2dlTkhBeUlmZHpvVHV4WklDdlhrVWtHZ0VFU0p5NXUtcVBSdW5Ya2pzZmxGTmUycmZsYXF4cTBsRU9PdzQ?oc=5,news.google.com,"Tue, 01 Apr 2025 11:45:17 GMT","['5', 'things', 'know', 'stock', 'market', 'opens', 'investopedia']","['5', 'thing', 'know', 'stock', 'market', 'open', 'investopedia']"
stock market crash today bse sensex ends over 1 300 points down nifty50 below 23 200 top reasons for times of india,https://news.google.com/rss/articles/CBMiqgJBVV95cUxONTJwdWdUbFJVeFNmRkVPeGcydXFHY19SSnEydmVCSmRjVXdzeEh0ZENvekdMUE9HUjBQWTNOZDM1NWxVbVBUMWR6Vl9hc3VJUzQ1X2thZ0NvUk94VFBWZnNLa3FTenUyV2gzc2hZMENpRzB5TXhuYWlHQzlFTUtfUTh3VmZkVUltbUdhdXBXZERaTkoybmEyNUN0bmRQT3FabHhUdjBnQW5UN3U0SlN5RHU3N2k2aTVsQ0thMzFNdDE1eEpnY1BaVHBXXy11N19LTlpUMkNEVXdBSTVDX0dwcUJIdmhjalZfYmRNaS1HY1NsRGRfV0pNMGtsZ2hHM05nemZIaHBONEtJNDhfWURXdDh1ZjIyTEdKdmdjbW04NmU0eHI2YXppXzZB0gGvAkFVX3lxTE5ZellMckRnaGd3S0QwZjZVVW1lQ2hKaW9GcE9aT2VRdUtkSGtpRkwxc2ozNDk0Y1VCWjRLU2VQX25adklWakNZQlZjVUktb2dkVUpyLXJwUDhGWXRIR2xIY3RhM1Fta0l4SEVSS1BweTlJS0M5QkdFTjVWOG1kVWYyRFFOMlZKMEtuNkJmTjlkTHVuOUwxVW84NU9UQS1sTWo0MjRvRm05SmpWVjAyVzRMbnI0RVdFYjQyaG53Y3BGM2JmbGZldVlYUGMxUUM1WjItSzBKR0tENkpKR1dFYkJGMGxRNU1CcnhCVnhoZlU0ekt6aE0yV1dTV3BBS3VFdjExanRBaGFRQnY1R3d0bWU3MkJoUXhEVG9CNWZPYjVZYU5xMGF2Nm5acXh4alNnNA?oc=5,news.google.com,"Tue, 01 Apr 2025 03:49:00 GMT","['stock', 'market', 'crash', 'today', 'bse', 'sensex', 'ends', '1', '300', 'points', 'nifty50', '23', '200', 'top', 'reasons', 'times', 'india']","['stock', 'market', 'crash', 'today', 'bse', 'sensex', 'end', '1', '300', 'point', 'nifty50', '23', '200', 'top', 'reason', 'time', 'india']"
closing bell trump tariff jitters sink market nifty below 23 200 sensex down 1 390 points moneycontrol,https://news.google.com/rss/articles/CBMi7AFBVV95cUxPZ21nNTRGc0k4MV9POE1ZQ24zcXNwNUV4bmtiaFRpZGFaTldTN05jcnFrMlVVWkRSdmFlMHo4MDZDQ3FmbDd0M09GejBQLU82dnFFQ2lvSjBaM2NmU002ZHB2Q3FHQXRWWS1RTWFLNjRIQU93RnR6cjgzbjlnM24wMUE0bXBlU2Jzb1J4bXlMTHRRTXZVSERQOVFYSW9UY1JNdmFtMkFtbzBNb3dhdVNKaE1vbkU5SUJhSVJaZEF3X2xNZWpyYWxlM0dYOHpxaDk0bEVfWVpvTjlaQXg1ajZzNGJWLWd4R25uYXMxdNIB8gFBVV95cUxNZmtmUTNfNm83Y2pUWDkwTmtlNFFENnlkWnBzZGV3bVJ3VGE5VjZvVFlYQjJIOF9hTGY3RzdPOUNucG9lYUh5Ym56VGdGS29BVzlBcGJEd2VjWGV4RUhxd3phZGExTzgySjlkS1VPZ1BjTEs5WThDU2phRlNfajUtVzZxWS1kQ2EzdjE2a0VwWVcxR3Zzb05oejRycmZZOVZhSFFMdzREeDdTako1SEJESzdGZjZncUhCSFRkZ2VocmRjak1rYkVZMXdwRWd5dWdsUm9XWUo5UDVSU2QwOHdUeGFOYkRIby1qN3A5M1I5UTRudw?oc=5,news.google.com,"Tue, 01 Apr 2025 10:44:34 GMT","['closing', 'bell', 'trump', 'tariff', 'jitters', 'sink', 'market', 'nifty', '23', '200', 'sensex', '1', '390', 'points', 'moneycontrol']","['closing', 'bell', 'trump', 'tariff', 'jitter', 'sink', 'market', 'nifty', '23', '200', 'sensex', '1', '390', 'point', 'moneycontrol']"
stock market crash sensex slumps 1 391 pts nifty below 23 200 in rough start to fy26 4 key reasons why market fell today the economic times,https://news.google.com/rss/articles/CBMinwJBVV95cUxNTXVpVlU1elZIQzV5cHI4MkN4VlNoWkVMUU55ZnM5TjBSc2xreUJjTndIZkFpVTZHTmFSLUxKTFIwX1VZZEp5VURPWHhVNHpDb2dmU0hrYk1KRlJ4eTVFa0hJcUpXWHZ4NWI3OG5mRzkyRTZFYTlmQmk5ejBOTWdibk8tRlNEY2JKQXk4cmlZLWI5empNZmp1ZVcteVA4NGVIUEQyZ3JwN0EyREFzU2xpMkZhNXFZMi15N1V3am1WOGpZMjdFaE9LUnJfeHoxUVMyeHlrbWFGYURvQTFuT2gxa215VTJ1ZlktV0dTOXJlQzNLaUhHV0U4Rm9GWXU1dVFwekxsTVBfaDdhcVBLNHJHTVdJZ1k3b2Rzbk4zeDVFOA?oc=5,news.google.com,"Tue, 01 Apr 2025 05:54:23 GMT","['stock', 'market', 'crash', 'sensex', 'slumps', '1', '391', 'pts', 'nifty', '23', '200', 'rough', 'start', 'fy26', '4', 'key', 'reasons', 'market', 'fell', 'today', 'economic', 'times']","['stock', 'market', 'crash', 'sensex', 'slump', '1', '391', 'pt', 'nifty', '23', '200', 'rough', 'start', 'fy26', '4', 'key', 'reason', 'market', 'fell', 'today', 'economic', 'time']"
3 long term stocks to buy that we still believe in morningstar,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQb3o1ZTRScFZwNER1YjlSOXRWQkNlMTNIWGRvVVFFUFpaQ1ZrcklqRmV3UjBvVHVFeFhuT2tQVUtpMnVGYWYzVGZJN1J6VHFoVGVwZ2pDSGlwVVMydmI5UE5iRTJYS3pXcjlIVTRLMzlnNGFmN1h3ZTdqU2xBTkZDWkprOWJaT21Q?oc=5,news.google.com,"Mon, 31 Mar 2025 22:09:57 GMT","['3', 'long', 'term', 'stocks', 'buy', 'still', 'believe', 'morningstar']","['3', 'long', 'term', 'stock', 'buy', 'still', 'believe', 'morningstar']"
looking to invest 10 lakh amid stock market crash siddarth khemka of mosl shares his gameplan mint,https://news.google.com/rss/articles/CBMi-gFBVV95cUxONzdLUmJjUWRuSHBIdWVsWHllS0RyUFNQVnRYTzJTd0E5dEJtLXJqdzhSX3k0Q1ZDdEpleEsxeFhOdTVnUkhXRHpQLS1iMGxoZE83Ti14V0VuNWhfUlVWQWMzalhZUzFnbDVDY2xSMTFRUDlJam5ncFlfSHVPOWNiU1lRQVp3V0RETnZhbmVwR205VEMwWXo4cnpTS1lzYTNZZUppMXdsTUl6Q2pMNVkwSzVfcFF2MGItMElxZjlCM3JwOGJqeDhSQmJDRmwxTFVDdnlKNWFlS2xmQmVYTDBMSnZ1RTVnMFBPOG5sUVAwZl9BdjFBS0o4LUxB0gH_AUFVX3lxTE1PQzVreHFIMHRieHI2ckh6dWZsS0VxTVNCUk5mSmpOdG5vRlRKTHhpczBTX2ctX1hMREMxc2JLUTNGakt6XzF2RFlPeE04R0pBVXN6TUNCTG9OZU56bUwwNVREOHV0b3JLZGtCeFVFYWV3aWItcDJPNlZVeVN4OERWY3Y2aXRRa2lCajJNQVVWdVRwZm1rOUJGRXppWGhvMDgzM0NjMGx5QU05Zzdxek9NQVRjS0NVVUtpYVQtUWhzSElKak10YzMxdDdsSndoYUFITGE1VktzSDFSS3JUSTlRZmxXalZyelV0UmJqZnlnM1JudmZGNWI3SkpXVzdDYw?oc=5,news.google.com,"Tue, 01 Apr 2025 06:51:43 GMT","['looking', 'invest', '10', 'lakh', 'amid', 'stock', 'market', 'crash', 'siddarth', 'khemka', 'mosl', 'shares', 'gameplan', 'mint']","['looking', 'invest', '10', 'lakh', 'amid', 'stock', 'market', 'crash', 'siddarth', 'khemka', 'mosl', 'share', 'gameplan', 'mint']"
stock market s 5 trillion slump revives buy the dip debate thestreet,https://news.google.com/rss/articles/CBMiogFBVV95cUxNZ0lsVXJacGtCbXFvbHFETDF3MXhYNFBuZFZCM2ZQSndWbXpicGlEVFlnTk13M3k4QUt4X1JFcWZRZVN1LV8ta2todmxVMHJLQkt2a2tBMXU3bXpITFZ1MVA5MHRKQUpPdFkxeS10MGtZcW95Z3lyQXF4QWQ0SlM0LXF3eHlRZ1JUT3hzVnNyTTYybHJpQ3FjVVN6WUhzbHlua2c?oc=5,news.google.com,"Tue, 01 Apr 2025 10:06:18 GMT","['stock', 'market', '5', 'trillion', 'slump', 'revives', 'buy', 'dip', 'debate', 'thestreet']","['stock', 'market', '5', 'trillion', 'slump', 'revives', 'buy', 'dip', 'debate', 'thestreet']"
why are trump supporters claiming he wants to crash the us stock market al jazeera,https://news.google.com/rss/articles/CBMisgFBVV95cUxNUWo5TVpabXRPOHJVQjdJNFR3Uk9SU3lXVThwQlc2NVhVeXRyVVpCMjcxSUF1Sl9HUkdsVXNIeFNCV25wT25hdUlrZGRDYXhublR2THE5NmN4cVBmbFlpbGJ4X2JHdjV3VllodTFrVktWLTBtcXpHRE1abzVkZWJXdjR3ZWpqVnpFLTlNR1NFemc2SUcxM2xJZlVLcGtsX2p6UTVUMEVtN2U5UUtyMzl3N1R30gG3AUFVX3lxTFA4SWVHcHV5VFZ3QVNIeE5pUlRqQlMyeDRJZGFHaFdEblREbzRxOGZsajk1M3lFNU9QTkZUSDFHN1FxTHJHMmNuQXNQRjRqUjRwWnh6ZW5vQmxEQ2lJSGUtRWl2QXhnRVc4THhzNU5PdVRYUkVyTkU5b3A1NF9JN3IwY0h4Ym9kLWc0eG85VHlrMTlKVVZ0VXVOWXBNUUNTTmx6Vktpd01nRVBJdTFoZFRzSnh4ekt6cw?oc=5,news.google.com,"Mon, 17 Mar 2025 07:00:00 GMT","['trump', 'supporters', 'claiming', 'wants', 'crash', 'us', 'stock', 'market', 'al', 'jazeera']","['trump', 'supporter', 'claiming', 'want', 'crash', 'u', 'stock', 'market', 'al', 'jazeera']"
us stock market loses 4 trillion in value as trump plows ahead on tariffs reuters,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQWUYyVHpWSjlIMURqT1dnSHEwTGhFb3hhTFlReW1DcnJHRTFHVGpRVk55bjRXcFR4SnE0b2tQbUdMcHFDYmU1WHZiLWV2SDNwdTVoeVdyN3VlZzZycm5hQ2VDWlVueFNQVFlESWYxeFZCeFprTnhoR1NjdWpUMWtRdVFBNy1GNG1zRnVZVV8xRFdYeGl0QkZTMTJEUlc0SU1LLUtmRVZDWEFLYkFMOWU4SFN2dWxCdkph?oc=5,news.google.com,"Mon, 10 Mar 2025 07:00:00 GMT","['us', 'stock', 'market', 'loses', '4', 'trillion', 'value', 'trump', 'plows', 'ahead', 'tariffs', 'reuters']","['u', 'stock', 'market', 'loses', '4', 'trillion', 'value', 'trump', 'plow', 'ahead', 'tariff', 'reuters']"
more muted gains for stocks in 2025 morgan stanley,https://news.google.com/rss/articles/CBMifkFVX3lxTE91S2FOOS1kNFlqb2VNeGpUS3J1cW5DUGk3MnVrb0E3b0dheXJtWl8ySjNJaEp4UE1hS043Wkpsd0FVSS1zYnVfZ1BDcE4xWTItUXl3NzZfblJ4SzBUclp5amRCdDZTUFQ3TW1vWXFRLWNGaDVBVkUxMVlJSWRWZw?oc=5,news.google.com,"Wed, 19 Feb 2025 08:00:00 GMT","['muted', 'gains', 'stocks', '2025', 'morgan', 'stanley']","['muted', 'gain', 'stock', '2025', 'morgan', 'stanley']"
trump made the stock market a marker of success now he s hedging as markets dip nbc news,https://news.google.com/rss/articles/CBMixgFBVV95cUxPemVqNlV1cEZOQzQ0X09rTVdOV1MtaktadFg1bGF1czlfR0ZlNmlJc0hjVld1eWRMRlJqbU91V2xBLWhoVllhUFd2bExaczVKendVcGlLMmJEb0ZaN3NVaEt0c21faWE4QWRJVXdteUN4YWk1WHEyR1dwVUctd2tBSDhVQUJ4TE84cm9KclY4U01PTFV5RjhZMlp4ZnAzRW9PczlNdlUtMmdxV0hYUkdhbVhYY0JRS2VNcjZrbXhXLXhNQkJYd1HSAVZBVV95cUxNcHZYdy1MVkxZcnFpOEJkNmdrdFVEZ19Fb1NmWl9seS1Mbkl0SWRaMmtGeEU3Ukd3VHlOZ0VGN0ZWT2tuVHJzYjZGNXR6M05LM3F0QVBuQQ?oc=5,news.google.com,"Mon, 10 Mar 2025 07:00:00 GMT","['trump', 'made', 'stock', 'market', 'marker', 'success', 'hedging', 'markets', 'dip', 'nbc', 'news']","['trump', 'made', 'stock', 'market', 'marker', 'success', 'hedging', 'market', 'dip', 'nbc', 'news']"
stock market today dow s p 500 and nasdaq rebound off session lows following manufacturing and job openings data tariff angst lingers tesla shares rise ahead of delivery numbers marketwatch,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPemVrOUVIczhkWHZkYWRJSk5lLWhtbFd6ZWZxWG94SXhlMmJsc2NEcnI3UG9KandfdXk4aENyeGI5UTM5eG8tOG1QZ2dickJIYkJUVXFNRkhMbVQzUjgzZGlvbVRvTVNFYzFnalprc2FtVXIydzUxT2wtQ2FSX1ZqZzIxWGFrcmIyazBqcm5Rd0ozd3d1Z2dPVHRZRDhEZklZUEg2UHdsWlg1dFdhS1UxM0JFbWJNenFq?oc=5,news.google.com,"Tue, 01 Apr 2025 15:13:00 GMT","['stock', 'market', 'today', 'dow', 'p', '500', 'nasdaq', 'rebound', 'session', 'lows', 'following', 'manufacturing', 'job', 'openings', 'data', 'tariff', 'angst', 'lingers', 'tesla', 'shares', 'rise', 'ahead', 'delivery', 'numbers', 'marketwatch']","['stock', 'market', 'today', 'dow', 'p', '500', 'nasdaq', 'rebound', 'session', 'low', 'following', 'manufacturing', 'job', 'opening', 'data', 'tariff', 'angst', 'lingers', 'tesla', 'share', 'rise', 'ahead', 'delivery', 'number', 'marketwatch']"
s p 500 rallies into the green tuesday in more volatile trading ahead of tariff rollout live updates cnbc,https://news.google.com/rss/articles/CBMid0FVX3lxTE5ucjNsTWZtQmdNY2M3X01DY01DR3VqMDlER3p0aHlLMlpyRjU1dWFNMXB3UVhjNVltRkZNZllQWVpSSElLamtjcHQzWTFhelUxVW9ySlNrTzdnUVRXbzh2Sm84Y0w0T2d6MDRZX3Bsei1zVWNLdjk40gF8QVVfeXFMTTF6c2N2dkpwS3FYbUVuU0NlSXlqQVU3QWdmRlV0NEc3OTdmdnc3S09ZOFdPTnR4dDZqSUxsZF9haWpDVjNsMjZua2R0dk5SZTAyVG9HU3VET0hyQ0xQTlBRS0tCbjI5SHBuOWpza2VyNVViaUx0ZHVMclYtSA?oc=5,news.google.com,"Tue, 01 Apr 2025 15:21:00 GMT","['p', '500', 'rallies', 'green', 'tuesday', 'volatile', 'trading', 'ahead', 'tariff', 'rollout', 'live', 'updates', 'cnbc']","['p', '500', 'rally', 'green', 'tuesday', 'volatile', 'trading', 'ahead', 'tariff', 'rollout', 'live', 'update', 'cnbc']"
stock market today wall street drifts and asia and europe recover a bit ahead of liberation day ap news,https://news.google.com/rss/articles/CBMimAFBVV95cUxPR0VYbk4zTVV3QXFCYUI2blBQQVJRSUVTSkFQYVRJZWpZb2ZlMHN0YVozdGU2RnRXNUdiMUp3U08xdGZEeEp5RFpGSGhzYnJyRjhFeDAwMElkRVQ1Q19ybDZqR0N3TF9ESzNZNWdya0NIRFo2Y0tiVVI3QVRIV0RTQVUySnROaU0xV21fTlpxdXhvRDUzckNYQQ?oc=5,news.google.com,"Tue, 01 Apr 2025 14:53:00 GMT","['stock', 'market', 'today', 'wall', 'street', 'drifts', 'asia', 'europe', 'recover', 'bit', 'ahead', 'liberation', 'day', 'ap', 'news']","['stock', 'market', 'today', 'wall', 'street', 'drift', 'asia', 'europe', 'recover', 'bit', 'ahead', 'liberation', 'day', 'ap', 'news']"
the 1 scenario that would send the stock market soaring barron s,https://news.google.com/rss/articles/CBMifEFVX3lxTE1zMzdCTWhiX1pybVFDeDQwN1dtN0NXQ21rLVdiYThDYUJwa2RkdFpqSWo1VUd2a21UN1R0RE0ySmNLNy1Ia3o5OU1Ec1N6U0NyTXdoWW43VElfeGEyRmIzdTdVLV9qcTk5ekJxVVVSQXZVSjlhNDBQbFoxazk?oc=5,news.google.com,"Tue, 01 Apr 2025 11:52:00 GMT","['1', 'scenario', 'would', 'send', 'stock', 'market', 'soaring', 'barron']","['1', 'scenario', 'would', 'send', 'stock', 'market', 'soaring', 'barron']"
