timestamp,content
2025-03-30T06:08:32.000Z,Good night to everyone:
2025-03-30T04:01:00.000Z,"To get updates on stocks and options, subscribe to Unusual Whales.

I'm working to create the tooling you want and need, as you need it!

Join here: http://unusualwhales.com/settings/billing…"
2025-03-30T03:31:00.000Z,"Elon Musk has said he and DOGE found 14 ‘magic money computers’ that create money out of thin air

Read more:"
2025-03-30T03:01:00.000Z,Recently Axios reported Trump is considering increasing the tax rate on the richest Americans' in return for cutting taxes on tips
2025-03-30T02:31:00.000Z,"Do you want to follow Buffett's portfolio?

Subscribe to Unusual Whales.

Get updates ad Berkshire updates.

See more:"
2025-03-30T02:01:00.000Z,"Prime Minister Mette Frederiksen called the United States Denmark’s “most important and closest ally.""

Read more:"
2025-03-30T01:01:00.000Z,"Canadian Prime Minister Carney: ""The old relationship we had with the United States based on deepening integration of our economies and tight security and military cooperation is over."""
2025-03-30T00:01:00.000Z,"Trump Commerce Secretary Howard Lutnick: ""Let's say Social Security didn't send out their checks this month, my mother-in-law— who's 94— she wouldn't call and complain. She just wouldn't. She'd just think something got messed up."""
2025-03-29T23:48:57.000Z,"Trump won't rule out using military force to take over Greenland, per ABC"
2025-03-29T23:34:08.000Z,"Anything you guys want me to build as well?  In finance, news, or content!

What do you guys want to see?

We have tons coming at http://unusualwhales.com"
2025-03-30T01:01:00.000Z,"Canadian Prime Minister Carney: ""The old relationship we had with the United States based on deepening integration of our economies and tight security and military cooperation is over."""
2025-03-30T00:01:00.000Z,"Trump Commerce Secretary Howard Lutnick: ""Let's say Social Security didn't send out their checks this month, my mother-in-law— who's 94— she wouldn't call and complain. She just wouldn't. She'd just think something got messed up."""
2025-03-29T23:48:57.000Z,"Trump won't rule out using military force to take over Greenland, per ABC"
2025-03-29T23:34:08.000Z,"Anything you guys want me to build as well?  In finance, news, or content!

What do you guys want to see?

We have tons coming at http://unusualwhales.com"
2025-03-29T22:33:00.000Z,"Hey guys,

I know I've been posting a lot of content across the spectrum, financial, news, and politics.

Would you guys prefer more financial content, more news, more political content?

What do you want to see? And what tools do you want me to build for it?"
2025-03-29T22:01:00.000Z,Elon Musk: I sleep for about 6 hours on average and I work almost every waking hour.... I work almost every waking hour.
2025-03-29T21:01:00.000Z,"White House: Democrats were big supporters of Tesla, $TSLA, and of electric vehicles until Elon Musk decided to vote for Donald Trump."
2025-03-29T20:01:00.000Z,"Elon Musk says he graduated with $100,000 in student debt:"
2025-03-29T19:01:00.000Z,"Warren Buffett: ""Go to work for whomever you admire the most. You can't get a bad result. You'll jump out of bed in the morning."""
2025-03-29T21:01:00.000Z,"White House: Democrats were big supporters of Tesla, $TSLA, and of electric vehicles until Elon Musk decided to vote for Donald Trump."
2025-03-29T20:01:00.000Z,"Elon Musk says he graduated with $100,000 in student debt:"
2025-03-29T19:01:00.000Z,"Warren Buffett: ""Go to work for whomever you admire the most. You can't get a bad result. You'll jump out of bed in the morning."""
2025-03-29T18:01:00.000Z,"Reporter to Trump: What do you do if you can't sleep?

Trump: The only thing I admired about Sleepy Joe Biden... is that within minutes he'd be sleeping."
2025-03-29T17:01:00.000Z,"Reporter: How much of the higher inflation forecast for this year is due to tariffs?

Powell: How much of it is tariffs? It is difficult to do a precise assessment... however, clearly, some of it is coming from tariffs."
2025-03-29T16:01:00.000Z,Elon Musk: DOGE is finding... entire situations of software licences or media subscriptions where there were zero logins.
2025-03-29T15:01:00.000Z,"Elon Musk: The reason I’m here is because I’m very worried about America going bankrupt due to the corruption and waste, and if we don’t do something, the ship of America is going to sink. We are all on that ship."
2025-03-29T18:01:00.000Z,"Reporter to Trump: What do you do if you can't sleep?

Trump: The only thing I admired about Sleepy Joe Biden... is that within minutes he'd be sleeping."
2025-03-29T17:01:00.000Z,"Reporter: How much of the higher inflation forecast for this year is due to tariffs?

Powell: How much of it is tariffs? It is difficult to do a precise assessment... however, clearly, some of it is coming from tariffs."
