CIK,Account,Value,Alerts
320193,AccountsPayableCurrent,61910000000,high_value ($61.9B > $4.9B)
320193,AccountsReceivableNetCurrent,29639000000,high_value ($29.6B > $4.9B)
320193,AccruedIncomeTaxesCurrent,26601000000,high_value ($26.6B > $4.9B)
320193,AccruedIncomeTaxesNoncurrent,9254000000,high_value ($9.3B > $4.9B)
320193,AccruedLiabilitiesCurrent,25184000000,high_value ($25.2B > $4.9B)
320193,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,74546000000,high_value ($74.5B > $4.9B)
320193,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-191000000,invalid_negative ($-191.0M)
320193,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,-175000000,invalid_negative ($-175.0M)
320193,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-105000000,invalid_negative ($-105.0M)
320193,AccumulatedOtherComprehensiveIncomeLossNetOfTax,-6789000000,invalid_negative ($-6789.0M)
320193,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,5443000000,high_value ($5.4B > $4.9B)
320193,Assets,344085000000,high_value ($344.1B > $4.9B)
320193,AssetsCurrent,133240000000,high_value ($133.2B > $4.9B)
320193,AssetsNoncurrent,210845000000,high_value ($210.8B > $4.9B)
320193,AvailableForSaleDebtSecuritiesAmortizedCostBasis,192582000000,high_value ($192.6B > $4.9B)
320193,AvailableForSaleSecurities,237100000000,high_value ($237.1B > $4.9B)
320193,AvailableForSaleSecuritiesAmortizedCost,241180000000,high_value ($241.2B > $4.9B)
320193,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,186837000000,high_value ($186.8B > $4.9B)
320193,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,126238000000,high_value ($126.2B > $4.9B)
320193,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,60599000000,high_value ($60.6B > $4.9B)
320193,AvailableForSaleSecuritiesCurrent,40388000000,high_value ($40.4B > $4.9B)
320193,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue,18371000000,high_value ($18.4B > $4.9B)
320193,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue,8660000000,high_value ($8.7B > $4.9B)
320193,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue,64209000000,high_value ($64.2B > $4.9B)
320193,AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate,91240000000,high_value ($91.2B > $4.9B)
320193,AvailableForSaleSecuritiesDebtSecurities,195571000000,high_value ($195.6B > $4.9B)
320193,AvailableForSaleSecuritiesDebtSecuritiesCurrent,13256000000,high_value ($13.3B > $4.9B)
320193,AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,36533000000,high_value ($36.5B > $4.9B)
320193,AvailableForSaleSecuritiesFairValueDisclosure,144687000000,high_value ($144.7B > $4.9B)
320193,AvailableForSaleSecuritiesNoncurrent,170799000000,high_value ($170.8B > $4.9B)
320193,CashAndCashEquivalentsAtCarryingValue,30299000000,high_value ($30.3B > $4.9B)
320193,CashAndCashEquivalentsPeriodIncreaseDecrease,18858000000,high_value ($18.9B > $4.9B)
320193,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,30299000000,high_value ($30.3B > $4.9B)
320193,CashEquivalentsAtCarryingValue,9571000000,high_value ($9.6B > $4.9B)
320193,CommonStocksIncludingAdditionalPaidInCapital,84768000000,high_value ($84.8B > $4.9B)
320193,CommonStockValue,20559000000,high_value ($20.6B > $4.9B)
320193,ComprehensiveIncomeNetOfTax,36713000000,high_value ($36.7B > $4.9B)
320193,ContractWithCustomerLiability,13200000000,high_value ($13.2B > $4.9B)
320193,ContractWithCustomerLiabilityCurrent,8461000000,high_value ($8.5B > $4.9B)
320193,CostOfGoodsAndServicesSold,66025000000,high_value ($66.0B > $4.9B)
320193,CostOfGoodsAndServicesSoldDepreciation,9300000000,high_value ($9.3B > $4.9B)
320193,CurrentFederalTaxExpenseBenefit,5571000000,high_value ($5.6B > $4.9B)
320193,CurrentForeignTaxExpenseBenefit,25483000000,high_value ($25.5B > $4.9B)
320193,DebtInstrumentCarryingAmount,97341000000,high_value ($97.3B > $4.9B)
320193,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPosition12MonthsOrLonger,28167000000,high_value ($28.2B > $4.9B)
320193,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,28151000000,high_value ($28.2B > $4.9B)
320193,DebtSecuritiesAvailableForSaleUnrealizedLossPosition,56318000000,high_value ($56.3B > $4.9B)
320193,DeferredFederalIncomeTaxExpenseBenefit,-3080000000,invalid_negative ($-3080.0M)
320193,DeferredIncomeTaxLiabilities,6805000000,high_value ($6.8B > $4.9B)
320193,DeferredIncomeTaxLiabilitiesNet,21906000000,high_value ($21.9B > $4.9B)
320193,DeferredRevenueCurrent,7543000000,high_value ($7.5B > $4.9B)
320193,DeferredStateAndLocalIncomeTaxExpenseBenefit,-298000000,invalid_negative ($-298.0M)
320193,DeferredTaxAssetsGross,34873000000,high_value ($34.9B > $4.9B)
320193,DeferredTaxAssetsLiabilitiesNet,19202000000,high_value ($19.2B > $4.9B)
320193,DeferredTaxAssetsLiabilitiesNetCurrent,5546000000,high_value ($5.5B > $4.9B)
320193,DeferredTaxAssetsNet,26007000000,high_value ($26.0B > $4.9B)
320193,DeferredTaxAssetsTaxCreditCarryforwards,8856000000,high_value ($8.9B > $4.9B)
320193,DeferredTaxAssetsTaxCreditCarryforwardsForeign,5100000000,high_value ($5.1B > $4.9B)
320193,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,6114000000,high_value ($6.1B > $4.9B)
320193,DeferredTaxAssetsValuationAllowance,8866000000,high_value ($8.9B > $4.9B)
320193,DeferredTaxLiabilities,27588000000,high_value ($27.6B > $4.9B)
320193,DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,42200000000,high_value ($42.2B > $4.9B)
320193,Depreciation,8200000000,high_value ($8.2B > $4.9B)
320193,DepreciationAmortizationAndAccretionNet,8149000000,high_value ($8.1B > $4.9B)
320193,DepreciationAndAmortization,8300000000,high_value ($8.3B > $4.9B)
320193,DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,-8000000,invalid_negative ($-8.0M)
320193,DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,-167000000,invalid_negative ($-167.0M)
320193,DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,-158000000,invalid_negative ($-158.0M)
320193,Dividends,13735000000,high_value ($13.7B > $4.9B)
320193,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitAmount,-893000000,invalid_negative ($-893.0M)
320193,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,18600000000,high_value ($18.6B > $4.9B)
320193,FairValueAssetsMeasuredOnRecurringBasisCashAndCashEquivalents,9571000000,high_value ($9.6B > $4.9B)
320193,FiniteLivedIntangibleAssetsAccumulatedAmortization,5491000000,high_value ($5.5B > $4.9B)
320193,FiniteLivedIntangibleAssetsGross,7540000000,high_value ($7.5B > $4.9B)
320193,ForeignIncomeTaxExpenseBenefitContinuingOperations,25830000000,high_value ($25.8B > $4.9B)
320193,GainLossOnSaleOfPropertyPlantEquipment,-24000000,invalid_negative ($-24.0M)
320193,Goodwill,5889000000,high_value ($5.9B > $4.9B)
320193,GrossProfit,58275000000,high_value ($58.3B > $4.9B)
320193,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,42584000000,high_value ($42.6B > $4.9B)
320193,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,77300000000,high_value ($77.3B > $4.9B)
320193,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,12905000000,high_value ($12.9B > $4.9B)
320193,IncomeTaxExaminationInterestExpense,-43000000,invalid_negative ($-43.0M)
320193,IncomeTaxExpenseBenefit,6254000000,high_value ($6.3B > $4.9B)
320193,IncomeTaxesPaidNet,18651000000,high_value ($18.7B > $4.9B)
320193,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,-5311000000,invalid_negative ($-5311.0M)
320193,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,25932000000,high_value ($25.9B > $4.9B)
320193,IncomeTaxReconciliationTaxContingenciesDomestic,-166000000,invalid_negative ($-166.0M)
320193,IncreaseDecreaseInAccountsPayable,-6671000000,invalid_negative ($-6671.0M)
320193,IncreaseDecreaseInAccountsReceivable,-3597000000,invalid_negative ($-3597.0M)
320193,IncreaseDecreaseInDeferredRevenue,-44000000,invalid_negative ($-44.0M)
320193,IncreaseDecreaseInInventories,-215000000,invalid_negative ($-215.0M)
320193,IncreaseDecreaseInOtherOperatingAssets,-939000000,invalid_negative ($-939.0M)
320193,IncreaseDecreaseInOtherOperatingLiabilities,-11998000000,invalid_negative ($-11998.0M)
320193,IncreaseDecreaseInOtherReceivables,-3166000000,invalid_negative ($-3166.0M)
